01,16,17,19,34,39		
01,04,16,19,42,47
04,16,19,22,29,39		
04,22,29,31,42,47
17,22,29,31,34,39		
01,04,31,39,42,47
04,16,17,19,31,34		
01,16,17,29,42,47
16,17,19,22,29,34		
16,29,31,34,42,47
01,04,19,29,31,34		
01,19,22,34,42,47
01,17,19,29,31,39		
17,19,22,31,42,47
04,19,22,31,34,39		
04,17,34,39,42,47
 
01,04,17,19,22,39		
19,29,34,39,42,47
01,16,22,31,34,39		
16,17,22,39,42,47
04,16,17,29,31,39		
01,04,16,19,46,48
01,04,16,29,34,39		
04,22,29,31,46,48
01,04,17,22,29,34		
01,04,31,39,46,48
01,16,19,22,29,31		
01,16,17,29,46,48
01,04,16,17,22,31		
16,29,31,34,46,48
01,04,42,46,47,48		
01,19,22,34,46,48
 
16,17,42,46,47,48		
17,19,22,31,46,48
19,22,42,46,47,48		
04,17,34,39,46,48
29,31,42,46,47,48		
19,29,34,39,46,48
34,39,42,46,47,48		
16,17,22,39,46,48
01,17,31,34,42,46		
01,04,17,22,42,48
01,22,29,39,42,46		
04,19,22,39,42,48
04,16,22,34,42,46		
01,04,29,34,42,48
04,17,19,29,42,46		
16,17,19,34,42,48
 
16,19,31,39,42,46		
01,16,34,39,42,48
01,16,22,31,42,46		
16,19,22,29,42,48
01,17,19,39,42,46		
01,19,29,31,42,48
04,16,29,39,42,46		
17,29,31,39,42,48
04,19,31,34,42,46		
04,16,17,31,42,48
17,22,29,34,42,46		
22,31,34,39,42,48
01,17,31,34,47,48		
01,04,17,22,46,47
01,22,29,39,47,48		
04,19,22,39,46,47
 
04,16,22,34,47,48		
01,04,29,34,46,47
04,17,19,29,47,48		
16,17,19,34,46,47
16,19,31,39,47,48		
01,16,34,39,46,47
01,16,22,31,47,48		
16,19,22,29,46,47
01,17,19,39,47,48		
01,19,29,31,46,47
04,16,29,39,47,48		
17,29,31,39,46,47
04,19,31,34,47,48		
04,16,17,31,46,47
17,22,29,34,47,48		
22,31,34,39,46,47
