01,02,03,13,16,21
01,02,04,06,07,17
01,02,04,07,10,20
01,02,05,06,09,17
01,02,05,10,12,19
01,02,08,09,11,20
01,03,04,09,12,16
01,03,05,07,11,16
01,03,06,08,10,16
01,03,16,17,19,20
01,04,05,06,13,20
01,04,05,08,19,21
01,04,10,11,17,21
01,06,07,09,19,21
01,06,11,12,20,21
01,07,08,12,14,15
01,07,08,13,14,18
01,07,12,13,15,18
01,07,14,15,17,18
01,08,12,14,17,18
01,08,13,15,17,18
01,09,10,11,13,19
01,12,13,14,15,17
02,03,04,05,06,20
02,03,04,05,08,17
02,03,06,07,12,20
02,03,07,08,09,19
02,03,10,11,12,17
02,04,09,12,13,21
02,04,11,14,18,19
02,04,11,15,16,18
02,04,14,15,16,19
02,05,07,11,13,21
02,05,08,12,16,20
02,06,08,10,13,21
02,06,11,14,15,19
02,06,11,14,16,18
02,06,15,16,18,19
02,07,09,10,16,17
02,13,17,19,20,21
03,04,06,07,17,21
03,04,07,10,13,19
03,04,08,11,13,20
03,05,06,12,13,19
03,05,09,10,15,18
03,05,09,14,15,21
03,05,10,14,18,21
03,05,14,15,18,20
03,06,09,11,13,17
03,08,11,12,19,21
03,09,10,14,18,20
03,09,15,18,20,21
03,10,14,15,20,21
04,05,07,09,11,12
04,05,10,13,16,17
04,06,08,09,10,12
04,06,11,14,15,16
04,06,11,15,18,19
04,06,14,16,18,19
04,07,08,16,20,21
04,09,12,17,19,20
05,06,07,08,10,11
05,06,12,16,17,21
05,07,11,17,19,20
05,08,09,13,16,19
05,09,10,14,15,20
05,09,14,18,20,21
05,10,15,18,20,21
06,07,09,13,16,20
06,08,10,17,19,20
07,08,12,15,17,18
07,08,13,14,15,17
07,10,12,16,19,21
07,12,13,14,17,18
08,09,11,16,17,21
08,11,12,13,16,19
08,12,13,14,15,18
09,10,11,16,19,21
09,10,14,15,18,21
10,11,12,13,16,20
