15	37	41	43	46	48
02	12	23	32	45	48
01	15	35	39	47	48
02	06	08	35	37	40
02	05	19	32	36	42
02	13	22	29	34	45
04	18	25	40	43	49
03	10	32	33	35	38
06	14	32	37	44	49
07	15	16	23	29	48
28	35	41	45	46	47
02	08	14	16	33	48
06	11	17	24	28	31
05	34	37	38	45	46
05	10	13	19	20	34
02	08	11	16	17	42
11	13	16	19	29	49
02	05	12	22	33	43
08	25	29	33	44	46
04	12	15	24	25	47
14	19	25	26	27	28
09	12	19	20	31	45
04	14	15	36	41	43
14	19	20	22	32	44
04	06	11	22	34	46
04	07	10	14	22	28
02	17	20	24	29	34
13	16	19	21	34	41
01	10	16	18	23	32
01	12	19	25	42	48
03	14	17	25	27	38
25	26	35	39	40	47
01	06	29	34	36	40
11	19	32	35	39	44
08	16	24	42	45	47
09	13	16	33	41	48
02	05	08	09	14	17
01	02	05	12	17	43
04	18	19	28	38	41
03	13	20	25	36	46
01	03	07	23	28	40
03	04	12	20	25	32
07	17	24	26	28	39
06	10	18	20	40	41
02	07	08	16	17	38
14	17	22	36	47	49
09	10	32	33	39	42
03	08	12	24	46	47
01	02	21	30	37	41
05	06	08	19	38	47
01	09	14	19	33	47
14	25	27	28	43	47
07	10	24	27	41	42
10	14	25	38	44	46
03	07	15	16	40	47
01	21	23	37	44	46
01	08	28	34	35	36
16	17	18	32	33	36
28	31	33	36	40	45
06	09	31	33	37	45
13	17	22	23	33	36
01	07	30	36	38	41
11	17	19	25	38	42
05	07	12	19	23	24
05	08	12	31	44	49
03	04	07	17	28	49
03	16	19	29	30	48
01	06	10	17	19	36
01	06	32	37	46	49
01	09	24	41	42	46
03	09	12	24	31	37
01	18	22	24	25	32
07	14	18	19	28	36
04	10	21	25	28	48
04	19	29	34	38	42
08	09	14	15	30	32
05	11	24	26	30	40
09	10	17	26	29	31
02	08	12	20	35	42
12	15	20	23	38	45
21	25	27	34	40	47
01	21	23	32	38	47
01	02	12	20	38	46
04	06	38	39	41	46
13	24	31	40	42	47
01	16	19	20	33	47
15	25	34	43	44	49
33	35	36	39	43	49
02	14	21	33	40	48
02	07	18	21	27	49
05	08	09	12	18	48
04	11	35	36	43	44
05	07	25	35	40	47
06	10	30	31	36	42
01	06	11	31	33	34
18	32	34	40	41	42
02	13	14	29	31	43
03	10	15	21	41	47
05	11	12	18	29	47
13	14	16	26	34	44
04	15	16	26	32	42
05	14	27	29	31	43
10	15	23	33	38	47
12	16	34	40	43	45
07	12	17	22	23	39
03	06	22	32	33	45
03	08	17	24	25	26
01	20	24	29	44	46
16	18	23	26	36	43
01	05	13	22	25	26
06	08	21	29	41	48
12	18	22	30	37	40
03	25	28	31	40	49
14	23	26	36	38	48
17	19	21	35	37	41
03	16	42	44	45	48
03	05	06	11	21	44
02	12	14	26	33	42
14	15	18	24	25	35
07	19	26	28	30	39
06	07	16	35	37	47
06	07	18	21	27	47
03	24	25	28	34	41
03	04	10	26	37	44
08	09	20	36	41	42
18	26	31	41	42	44
07	24	30	38	46	48
