13	19	20	22	27	28
05	16	17	22	23	28
06	16	20	25	28	30
02	03	04	08	21	31
04	06	12	13	25	30
04	11	14	16	28	31
01	05	10	14	23	29
06	10	16	21	24	27
01	05	08	10	19	31
10	12	17	20	26	27
03	05	18	21	24	31
10	14	18	20	22	23
04	05	06	08	11	12
02	04	16	18	25	26
01	13	17	21	22	26
04	11	16	19	26	29
03	09	17	22	23	24
08	11	20	27	28	29
03	05	06	08	11	28
02	13	17	21	22	23
01	02	10	11	16	29
09	11	14	25	26	31
08	10	11	21	27	30
02	06	17	18	25	29
02	08	13	15	16	22
01	05	12	17	30	31
07	13	15	20	22	27
11	20	21	26	28	31
05	08	15	17	26	29
01	14	15	16	17	27
05	08	19	27	30	31
10	18	20	23	27	31
01	14	15	20	22	24
02	03	04	07	16	23
02	09	11	18	27	28
10	13	14	18	30	31
02	09	11	20	23	26
01	07	16	17	30	31
09	12	18	22	23	27
02	03	09	13	15	30
06	09	12	17	24	29
03	08	15	16	24	27
01	05	06	13	22	30
02	14	15	16	20	25
01	10	19	24	26	30
05	08	14	23	27	29
05	14	15	17	18	27
02	03	05	12	23	30
08	12	13	15	22	27
07	08	14	18	24	26
07	12	13	21	24	31
02	16	19	22	27	28
04	08	11	18	26	29
01	04	05	07	15	23
02	14	19	20	25	28
03	13	14	21	27	28
05	11	16	18	20	31
02	04	05	10	27	29
05	08	14	20	25	27
04	11	13	15	20	27
03	07	13	16	17	28
02	04	05	08	12	27
02	05	10	12	15	21
06	09	13	17	21	25
06	10	17	19	24	28
01	03	16	17	23	29
11	12	13	20	22	24
10	14	23	24	26	28
03	10	11	13	20	29
05	09	12	16	28	30
01	12	17	18	21	24
03	07	12	13	20	26
07	14	21	25	30	31
06	13	17	20	25	27
05	09	13	21	22	24
04	07	12	27	29	30
01	06	09	11	12	27
04	06	20	22	24	25
04	05	16	18	21	25
06	10	13	19	27	29
01	08	17	19	27	31
07	10	20	24	25	26
04	06	10	15	16	18
01	16	18	22	24	31
04	08	11	17	29	31
07	12	19	20	21	27
01	03	07	13	28	30
01	03	09	14	15	27
02	05	08	09	23	30
05	14	15	18	19	29
06	10	13	23	24	26
04	11	17	21	24	28
03	07	12	14	25	29
